year,season,time,total_pedestrian,to_manhattan,to_brooklyn,weather,event
2019,Spring,02:00:00 PM,2928,1354,1574,clear day,
2019,Winter,12:00:00 PM,663,374,289,rain,
2019,Winter,09:00:00 AM,269,142,127,snow,
2019,Spring,03:00:00 PM,2745,1181,1564,clear day,
2019,Summer,09:00:00 PM,43,17,26,clear night,
2019,Fall,01:00:00 AM,1,0,1,cloudy,
2019,Spring,05:00:00 PM,2513,1256,1257,partly cloudy day,
2019,Fall,04:00:00 AM,0,0,0,partly cloudy night,
2019,Summer,07:00:00 AM,279,136,143,partly cloudy day,
2019,Fall,02:00:00 AM,1,0,1,clear night,
2019,Fall,03:00:00 AM,0,0,0,cloudy,
2019,Winter,06:00:00 PM,105,97,8,clear night,
2019,Spring,12:00:00 AM,2,0,2,cloudy,
2019,Fall,04:00:00 PM,1354,540,814,cloudy,
2019,Fall,11:00:00 PM,4,4,0,partly cloudy night,
2019,Summer,06:00:00 PM,1973,1087,886,clear day,
2019,Winter,05:00:00 AM,0,0,0,clear night,
2019,Fall,03:00:00 AM,1,0,1,cloudy,
2019,Winter,12:00:00 AM,144,24,120,rain,New Year's Day
2019,Summer,03:00:00 PM,1395,708,687,cloudy,
2019,Fall,05:00:00 AM,0,0,0,clear night,
2019,Fall,02:00:00 AM,2,1,1,clear night,
2019,Fall,04:00:00 PM,703,251,452,cloudy,
2019,Winter,05:00:00 AM,1,0,1,cloudy,
2019,Winter,03:00:00 AM,0,0,0,clear night,
2019,Fall,06:00:00 PM,1084,388,696,cloudy,
2019,Fall,06:00:00 PM,1885,1062,823,partly cloudy day,
2019,Winter,02:00:00 PM,255,145,110,rain,
2019,Spring,03:00:00 AM,0,0,0,rain,
2019,Summer,02:00:00 AM,0,0,0,clear night,
2019,Summer,09:00:00 PM,19,8,11,partly cloudy night,
2019,Winter,10:00:00 PM,5,3,2,cloudy,
2019,Fall,11:00:00 PM,55,53,2,clear night,
2019,Winter,02:00:00 AM,1,0,1,partly cloudy night,
2019,Winter,09:00:00 AM,0,0,0,clear day,
2019,Spring,02:00:00 PM,1842,796,1046,cloudy,
2019,Winter,03:00:00 AM,0,0,0,cloudy,
2019,Summer,12:00:00 PM,1590,674,916,partly cloudy day,
2019,Fall,02:00:00 PM,1900,818,1082,partly cloudy day,
2019,Summer,12:00:00 AM,13,7,6,clear night,
2019,Fall,06:00:00 PM,786,413,373,partly cloudy day,
2019,Fall,01:00:00 PM,798,341,457,rain,Halloween
2019,Winter,06:00:00 PM,124,119,5,clear night,
2019,Summer,05:00:00 AM,9,4,5,rain,
2019,Winter,06:00:00 PM,6,5,1,partly cloudy night,New Year's Eve
2019,Spring,06:00:00 PM,1563,679,884,clear day,St. Patrick's Day
2019,Fall,03:00:00 AM,0,0,0,clear night,
2019,Fall,02:00:00 PM,2587,1058,1529,partly cloudy day,
2019,Winter,11:00:00 PM,15,15,0,cloudy,
2019,Fall,11:00:00 PM,8,5,3,clear night,
2019,Spring,12:00:00 PM,2341,1231,1110,clear day,
2019,Summer,02:00:00 PM,1570,736,834,partly cloudy day,
2019,Spring,06:00:00 AM,29,25,4,partly cloudy night,
2019,Summer,12:00:00 AM,28,22,6,clear night,
2019,Summer,07:00:00 PM,1990,1033,957,partly cloudy day,
2019,Fall,02:00:00 PM,1456,690,766,clear day,
2019,Winter,04:00:00 PM,2111,910,1201,clear day,
2019,Winter,12:00:00 PM,1321,479,842,partly cloudy day,
2019,Fall,06:00:00 AM,116,81,35,clear night,
2019,Spring,01:00:00 PM,819,379,440,partly cloudy day,
2019,Spring,12:00:00 AM,14,14,0,rain,
2019,Fall,12:00:00 PM,1787,820,967,clear day,Veterans Day
2019,Spring,06:00:00 PM,128,51,77,partly cloudy night,
2019,Summer,08:00:00 AM,543,233,310,partly cloudy day,
2019,Winter,03:00:00 PM,2566,1206,1360,clear day,
2019,Winter,06:00:00 AM,46,32,14,clear night,
2019,Spring,04:00:00 AM,0,0,0,cloudy,
2019,Spring,06:00:00 AM,35,29,6,partly cloudy night,
2019,Winter,01:00:00 AM,2,1,1,partly cloudy night,Martin Luther King Jr. Day
2019,Summer,02:00:00 PM,2720,1124,1596,clear day,
2019,Winter,04:00:00 PM,897,420,477,clear day,
2019,Fall,04:00:00 PM,2192,1044,1148,cloudy,
2019,Spring,06:00:00 PM,1576,784,792,clear day,
2019,Spring,11:00:00 AM,1220,576,644,cloudy,
2019,Spring,07:00:00 AM,186,71,115,clear night,
2019,Summer,08:00:00 AM,499,161,338,clear day,
2019,Winter,12:00:00 AM,17,17,0,clear night,
2019,Summer,08:00:00 PM,571,225,346,partly cloudy night,
2019,Spring,01:00:00 PM,1598,641,957,clear day,
2019,Summer,11:00:00 AM,1057,577,480,cloudy,
2019,Spring,06:00:00 AM,158,79,79,clear day,
2019,Fall,10:00:00 PM,56,48,8,partly cloudy night,
2019,Summer,11:00:00 AM,1832,882,950,clear day,
2019,Fall,04:00:00 PM,949,398,551,clear day,
2019,Summer,06:00:00 AM,185,84,101,partly cloudy night,
2019,Fall,09:00:00 AM,521,263,258,cloudy,
2019,Spring,10:00:00 PM,22,0,22,clear night,
2019,Spring,05:00:00 PM,223,109,114,rain,
2019,Winter,12:00:00 AM,17,9,8,cloudy,
2019,Winter,05:00:00 PM,1035,451,584,partly cloudy day,
2019,Fall,12:00:00 PM,2328,1145,1183,clear day,
2019,Winter,02:00:00 AM,3,1,2,partly cloudy night,
2019,Fall,06:00:00 PM,1657,993,664,clear day,
